"address","lat","long"
"cr 15 sur 78 123, Barranquilla, Colombia",10.9258732214495,-74.8238777804654
"AV CIRCUNVALAR AV CORDIALIDAD, Barranquilla, Colombia",10.9542241223683,-74.8357226032218
"CR 51B CL 86, Barranquilla, Colombia",11.0072050411288,-74.8203648835515
"CL 75 CR 71, Barranquilla, Colombia",11.0106821267399,-74.794665612459
"AV MURILLO ESTADIO METROPOLITANO, Barranquilla, Colombia",10.9370857880016,-74.7993222080905
"CR 45 CL 59, Barranquilla, Colombia",10.9893100550348,-74.7955648856217
"CR 37 53 110, Barranquilla, Colombia",10.9807430492393,-74.7946139693931
"CL 64 CR 61, Barranquilla, Colombia",10.9979800442224,-74.7921899123081
"CL 19 CR 1B, Barranquilla, Colombia",10.9693269600507,-74.8411378843157
"CL 110 CR 6, Barranquilla, Colombia",10.9506450271935,-74.8346849041221
"CL 76 CR 43B, Barranquilla, Colombia",10.9950250461674,-74.8111198958061
"CL 96 CR 47, Barranquilla, Colombia",11.0077450242861,-74.8282799147201
"CL 84 CR 46, Barranquilla, Colombia",11.0020890027288,-74.8188669843861
"CL 29 CR 32, Barranquilla, Colombia",10.9708950347132,-74.7790599124409
"galapa km 6 + 1, Barranquilla, Colombia",10.9826800000001,-74.83019
"CL 96 CR 42F, Barranquilla, Colombia",10.9996400382368,-74.8312849108275
"CL 82 CR 53, Barranquilla, Colombia",11.0069083984622,-74.812752606592
"CL 45 CR 20, Barranquilla, Colombia",10.9598490894114,-74.7939454284284
"VIA 40 CON 69, Barranquilla, Colombia",11.0056300605673,-74.7891399053806
"CR 41 63 3, Barranquilla, Colombia",10.9851603262368,-74.798875984837
"CL 30 CR 26, Barranquilla, Colombia",10.9653783368508,-74.7826180649961
"CL 72 CR 44, Barranquilla, Colombia",10.9927600463819,-74.806469909291
"CR 15 SUR 90B 116, Barranquilla, Colombia",10.9275123749307,-74.8263502966985
"CL 17 CR 30, Barranquilla, Colombia",10.9691379537262,-74.7744624307207
"CR 57 CL 91, Barranquilla, Colombia",11.0145859921577,-74.8204111146894
"CL 110 CR 6, Barranquilla, Colombia",10.9506450271935,-74.8346849041221
"CL 81 68 41, Barranquilla, Colombia",11.0143854559547,-74.8074661610583
"VIA GALAPA ENTRADA VILLA CORDIALIDAD, Barranquilla, Colombia",10.9387509767083,-74.8521838882302
"AV CIRCUNVALAR CR 38 Y 46, Barranquilla, Colombia",10.9977192853784,-74.840219905544
"CR 67 40 211, Barranquilla, Colombia",11.0003026529848,-74.7855922004513
"AV CIRCUNVALAR CL 98, Barranquilla, Colombia",10.9977192853784,-74.840219905544
"CL 110 CR 9G, Barranquilla, Colombia",10.9589756312626,-74.83708288933
"CL 110 CR 12A, Barranquilla, Colombia",10.9679331006454,-74.8381292837825
"CL 30 CR 8, Barranquilla, Colombia",10.9473325057984,-74.784946565381
"CR 16 CL 23, Barranquilla, Colombia",10.9537750393868,-74.7781399147483
"CR 43 CL 76, Barranquilla, Colombia",10.9947850226138,-74.8125944916093
"CL 110 CR 26, Barranquilla, Colombia",10.9735099471431,-74.8365402516015
"CL 93 CR 40B, Barranquilla, Colombia",10.9863311270321,-74.8352050535178
"VIA 40 CL 68, Barranquilla, Colombia",11.0337956806065,-74.8119501182075
"CR 45 CL 53, Barranquilla, Colombia",10.9878864884107,-74.7903895679807
"AVENIDA CORDIALIDAD CR 19, Barranquilla, Colombia",10.9490200000001,-74.8312
"CL 39 CR 33, Barranquilla, Colombia",10.9745050365918,-74.78347495421
"CR 44 CL 44, Barranquilla, Colombia",10.9844450517485,-74.7851599262958
"CL 119 CR 10A 8, Barranquilla, Colombia",10.9586065311064,-74.8417599285362
"CR 1E CL 48, Barranquilla, Colombia",10.9344956547451,-74.8043091798934
"ENTRADA SECTOR ZONA FRANCA, Barranquilla, Colombia",10.9826800000001,-74.83019
"CR 14 CL 54, Barranquilla, Colombia",10.9578567270753,-74.8025330277639
"CR 38 CL 6, Barranquilla, Colombia",10.9745100238242,-74.7709999162569
"CR 27 CL 61, Barranquilla, Colombia",10.9756000484226,-74.803584942037
"CR 22 39 20, Barranquilla, Colombia",10.9629604148728,-74.7888588675231
"VIA 40 CL 85, Barranquilla, Colombia",11.0287071896506,-74.805892481197
"CL 70C 12A 32, Barranquilla, Colombia",10.9628682217601,-74.8149350138417
"VIA 40 CON 77, Barranquilla, Colombia",11.01614004514,-74.795359948089
"AV 110 CR 9G, Barranquilla, Colombia",10.9594919251516,-74.8573324810672
"CL 75 CR 49, Barranquilla, Colombia",10.9986600470723,-74.8075849119609
"AV CIRCUNVALAR ALTURA EUROPARK, Barranquilla, Colombia",10.9227820633437,-74.8173673525954
"AV CIRCUNVALAR 6 361, Barranquilla, Colombia",10.9228018603823,-74.8172911751533
"CR 41 CL 39, Barranquilla, Colombia",10.9805800514205,-74.7819799160501
"CL 72 CR 52, Barranquilla, Colombia",10.9983300515443,-74.802499904671
"CL 75 CR 7B, Barranquilla, Colombia",10.9504500431709,-74.8204098943716
"CL 17 CR 27, Barranquilla, Colombia",10.9648654029439,-74.7752797153628
"CR 23B CL 65B, Barranquilla, Colombia",10.9712400548026,-74.8085349168668
"CR 8 CL 44, Barranquilla, Colombia",10.9465500483972,-74.7966598974525
"CL 77 CR 66, Barranquilla, Colombia",11.0101200365509,-74.7997449407353
"CL 30 CR 4, Barranquilla, Colombia",10.9409269513643,-74.7831108814595
"VIA 40 CON 54, Barranquilla, Colombia",10.9953800407217,-74.7817099349488
"CL 52C CR 8G, Barranquilla, Colombia",10.95080235776,-74.8077270344196
"CL 45 CR 11 SUR, Barranquilla, Colombia",10.9255100465033,-74.7990549005564
"CR 43 CL 68, Barranquilla, Colombia",10.9891300327094,-74.8025348991168
"CR 59 CL 90, Barranquilla, Colombia",11.0144339701448,-74.8181675470706
"CALLE 82 CRA 45, Barranquilla, Colombia",10.9797291157993,-74.8226309744915
"CL 30 CR 43, Barranquilla, Colombia",10.9818775862355,-74.775309480745
"CRA 34 CALLE 141, Barranquilla, Colombia",10.9771022977897,-74.7793899079689
"CR 55 CL 106, Barranquilla, Colombia",11.0189126113958,-74.8343231007353
"CL 81 CR 72, Barranquilla, Colombia",11.0169700421472,-74.8067299159275
"CL 79 49B 35, Barranquilla, Colombia",10.999695004118,-74.8112437475851
"CL 80 CR 70, Barranquilla, Colombia",11.0153000317585,-74.8055448824566
"VIA 40 CL 76, Barranquilla, Colombia",11.0153614621136,-74.7947879270423
"CL 30 CR 28, Barranquilla, Colombia",10.9671600377034,-74.7818599291061
"CRA 51B CALLE 90, Barranquilla, Colombia",10.9778293545703,-74.7926443540061
"CR 50 CL 64, Barranquilla, Colombia",10.9942597482742,-74.7982622687235
"CALLE 110 CRA 31, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CALLE 110 CRA 29, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CL 37 CR 20, Barranquilla, Colombia",10.9589102764961,-74.7888323916703
"CR 50 80 216, Barranquilla, Colombia",11.0025709116598,-74.8144189819074
"CRA 52 CALLE 94, Barranquilla, Colombia",10.9703162439347,-74.7956194705862
"CL 45  CR 6, Barranquilla, Colombia",10.9780006930997,-74.7875011132527
"CR 27 CL 61, Barranquilla, Colombia",10.9756000484226,-74.803584942037
"CL 19 CR 6, Barranquilla, Colombia",11.037618733923,-74.8667832519896
"CALLE 17 CRA 35, Barranquilla, Colombia",11.0328423189408,-74.8679644373507
"CL 47 CR 11 SUR, Barranquilla, Colombia",10.9250148931163,-74.8050698800036
"CL 79 CR 78, Barranquilla, Colombia",11.0191850438803,-74.8021999163563
"CL 110 CR 38, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CL 45 8D 23, Barranquilla, Colombia",10.9485388481004,-74.7999686157117
"CL 45 8D 23, Barranquilla, Colombia",10.9485388481004,-74.7999686157117
"CALLE 68 CRA 31, Barranquilla, Colombia",10.9795900438817,-74.8051698761085
"CALLE 19 CRA 1E, Barranquilla, Colombia",11.0377313467289,-74.8666966323394
"CR 51B CL 106, Barranquilla, Colombia",11.0148497278002,-74.836707269697
"CR 38 CL 41, Barranquilla, Colombia",10.978810044927,-74.7838899003267
"CL 70C CR 22, Barranquilla, Colombia",10.9709900435857,-74.8109199455059
"CL 90 CR 51B, Barranquilla, Colombia",11.008390053645,-74.8219548886744
"CR 8 CL 38B, Barranquilla, Colombia",10.9459445311474,-74.7945956386405
"CL 36 CR 30, Barranquilla, Colombia",10.9707550359754,-74.7828699065293
"CL 45 CR 44 Y 45, Barranquilla, Colombia",10.9862219189746,-74.7851850166789
"KM 90 TRONCAL CARIBE, Barranquilla, Colombia",11.0152523051471,-74.8686271048462
"CL 41 35 28, Barranquilla, Colombia",10.9762825282412,-74.7840905453986
"CL 54 45 11, Barranquilla, Colombia",10.9883009634555,-74.7913584896982
"CALLE 84 CRA 47, Barranquilla, Colombia",10.9178588948944,-74.8213953396045
"CL 110 CR 38 Y 46, Barranquilla, Colombia",10.9858476930179,-74.8362767035007
"CRA 5F CALLE 76, Barranquilla, Colombia",10.9584100341239,-74.8206305455083
"CR 52 CL 86, Barranquilla, Colombia",11.008410044484,-74.8197549324575
"CL 113 CR 82, Barranquilla, Colombia",11.0384663572693,-74.828102544821
"CL 30 CR 14, Barranquilla, Colombia",10.9528467278327,-74.78642836433
"CR 10 27D 28, Barranquilla, Colombia",10.9483765238978,-74.783904921571
"CL 40 CR 38 Y 46, Barranquilla, Colombia",10.9788320908655,-74.7827215651747
"CR 46 CL 68, Barranquilla, Colombia",10.9920312404218,-74.801659293414
"CR 40 41 57, Barranquilla, Colombia",10.9804622174956,-74.7835367520362
"cl 74 cr 53, Barranquilla, Colombia",11.0000950498507,-74.8032149229214
"VIA 40 CL 79, Barranquilla, Colombia",11.0212100391308,-74.7993298983571
"CR 37 CL 52, Barranquilla, Colombia",10.9803500310426,-74.7933599421724
"AV CIRCUNVALAR CR 13, Barranquilla, Colombia",10.9977192853784,-74.840219905544
"CL 26 CR 12, Barranquilla, Colombia",10.9510300499159,-74.779854935957
"AVENIDA 110 CRA 13, Barranquilla, Colombia",10.9903634810676,-74.7719823151286
"CR 37 CL 54, Barranquilla, Colombia",10.9810250466601,-74.7955049131045
"CL 61 CR 27, Barranquilla, Colombia",10.9761100453213,-74.8029849234982
"VIA 40 CL 67, Barranquilla, Colombia",11.0021215492246,-74.7848710425316
"CL 114 CR 36B, Barranquilla, Colombia",10.980987663156,-74.8383156426658
"CALLE 100 CRA 57, Barranquilla, Colombia",10.9995143421764,-74.8408288966301
"CL 45 CR 11 SUR, Barranquilla, Colombia",10.9255100465033,-74.7990549005564
"CL 72 CR 49, Barranquilla, Colombia",10.9973200322116,-74.8038198867831
"CR 51B CL 92, Barranquilla, Colombia",11.0091635051342,-74.8245031710308
"CL 90D CR 59 188, Barranquilla, Colombia",10.9826800000001,-74.83019
"CR 43 80 148, Barranquilla, Colombia",10.9972201943774,-74.817063791739
"CR 21 CL 61, Barranquilla, Colombia",10.9685700414556,-74.80405994449
"CR 54 64 223, Barranquilla, Colombia",10.9967531257968,-74.7968439373381
"CL 48 CR 41 Y 43, Barranquilla, Colombia",10.9822822498663,-74.7889662034865
"CR 38 60 16, Barranquilla, Colombia",10.9834085123531,-74.7983060008227
"CR 23 CL 68, Barranquilla, Colombia",10.9711092468657,-74.8102322531749
"CL 100 CON 37, Barranquilla, Colombia",10.9819700433789,-74.8323199501412
"CL 44 CR 8, Barranquilla, Colombia",10.9464850467381,-74.7988499211142
"PUENTE LAUREANO GOMEZ, Barranquilla, Colombia",7.45000000000005,-72.48333
"CR 9G CL 94, Barranquilla, Colombia",10.9581284351564,-74.8267102706803
"CL 30 38 22, Barranquilla, Colombia",10.9762828754248,-74.7771301357441
"CL 19 CR 3, Barranquilla, Colombia",10.9389517230618,-74.7792837113896
"CL 38 36 115, Barranquilla, Colombia",10.9774943397148,-74.7819771722621
"CL 45 CR 29, Barranquilla, Colombia",10.9719791580877,-74.7892902272682
"CL 97 CR 8G, Barranquilla, Colombia",10.9549000374763,-74.826794934844
"CR 38 CL 81, Barranquilla, Colombia",10.9848636102662,-74.8236484869344
"CR 44 42 53, Barranquilla, Colombia",10.9840382783283,-74.7834213623173
